Restaurant,Delivery,Vegan,Number,Location,Instagram,Website,lon,lat
JamaFo Jamaican Food Xpress,Yes,No,747-444-9260,"22213 Sherman Way, 91303",https://www.instagram.com/jamafoxpress,https://www.jamafoxpress.com/,-118.6108433,34.2013301
Les Sisters,No,No,818-998-0755,"21818 Devonshire St, 91311",https://www.instagram.com/lessisters2014,http://www.lessisters.com/,-118.6046104,34.2569998
One876 Carribean Restaurant,No,No,818-678-9252,"20869 Lassen Street, 91311",https://www.instagram.com/one876caribbeanrestaurant,https://one876caribbeanrestaurant.com/,-118.588217,34.250357
Fish Bone Seafood,Yes,No,818-975-8083,"5577 Reseda Blvd, 91356",https://www.instagram.com/fishboneseafood,https://fishboneseafood.com/fishbone-seafood-tarzana/,-118.5364458,34.172061
Native,No,No,310-458-4427,"620 Santa Monica Boulevard, 90401",         ---,http://eatnative.la/,-118.4924747,34.0182325
Cafe Buna,No,No,310-823-2430,"552 Washington Boulevard, 90292",https://www.instagram.com/cafebuna_mdr,https://cafe-buna.business.site/,-118.4596079,33.9831522
My Fish Stop,Yes,No,888-469-9980,"14843 1/2 Burbank Blvd, 91411",https://www.instagram.com/myfishstop,https://www.myfishstop.com/,-118.4567753,34.1723246
Sky's Gourmet Tacos,Yes,No,424-353-0295,"4333 Admiralty Way, 90292",https://www.instagram.com/skystacos,https://skystacos.com/mdr,-118.4536117,33.9849237
Compton Vegan,Yes,Yes,310-596-6690,"11419 Santa Monica Blvd, 90025",https://www.instagram.com/comptonvegan,https://comptonvegan.com/,-118.4515097,34.0458929
Jackfruit Cafe,Yes,Yes,818-481-4111,"11419 Santa Monica Boulevard, 90025",https://www.instagram.com/jackfruitcafe,https://jackfruitcafe.com/,-118.4515097,34.0458929
T&T Lifestyle,No,Yes,310-699-8642,"11419 Santa Monica Blvd, 90025",https://www.instagram.com/tandtlifestyle,https://www.tandtlifestylelosangeles.com/,-118.4515097,34.0458929
"Uncle Darrow's, Inc.",No,No,323-938-0518,"2560 Lincoln Boulevard, 90291",         ---,         ---,-118.4479659,33.9909696
"Enjoy Repeat, Inc.",No,No,310-717-3150,"5002 Tilden Avenue, 91423",         ---,         ---,-118.4471819,34.1613838
Lettuce Feast,No,No,424-261-3659,"14320 Ventura Blvd, 91423",https://www.instagram.com/lettucefeastla,https://www.lettucefeast.online/,-118.4450471,34.149909
Sweet Blessings,Yes,No,818-285-8437,"14126 Sherman Way, 91405",https://www.instagram.com/sweet_blessings_,https://www.sweetblessingsla.com/,-118.4409643,34.200653
Mom's Haus,No,No,818-786-1373,"14062 Vanowen St, 91405",https://www.instagram.com/eatmomshaus,https://www.eatmomshaus.com/,-118.4395235,34.193621
The Original Coleys,Yes,No,818-261-7680,"7333 Fulton Ave, 91605",https://www.instagram.com/the_original_coleys,         ---,-118.4232015,34.2040102
Fresh and Meaty Burgers,Yes,No,818-927-4051,"4350 Laurel Canyon Blvd, 91604",https://www.instagram.com/freshandmeatyburgers,https://www.bestturkeyburgerlosangeles.com/,-118.396192,34.1499452
Honey's Kettle,Yes,No,310-202-5453,"9537 Culver Blvd, 90232",https://www.instagram.com/honeyskettle,http://honeyskettle.com/,-118.3954407,34.0231992
Janga by Derrick's Jamaican Cuisine,Yes,No,424-603-4843,"3850 Main St, 90232",https://www.instagram.com/jangabyderricks,http://jangabyderricks.com/,-118.3941842,34.0247141
Delvigne Croissant,No,No,213-326-4404,"9200 Venice Boulevard, 90034",https://www.instagram.com/delvignecroissant,https://www.delvignecroissant.com/,-118.3933329,34.0264305
The Jerk Spot,Yes,No,310-815-1160,"9006 Venice Blvd, 90232",https://www.instagram.com/jerkspotla,http://jerkspotla.com/index.html,-118.3908673,34.0274586
CMS Hospitality,No,No,310-215-4208,"6033 West Century Boulevard, 90045",         ---,         ---,-118.3897097,33.9459356
Undergrind Cafe,Yes,No,310-730-6392,"2713 South Robertson Boulevard, 90034",https://www.instagram.com/undergrindcafe,http://www.undergrindcafe.com/,-118.3888869,34.0373494
Uncle Andre’s BBQ,Yes,No,818-763-8414,"11715 Moorpark Street, 91604",https://www.instagram.com/uncleandresbbq,https://www.soulofamerica.com/us-cities/los-angeles/la-restaurants-nightclubs/uncle-andres/,-118.3883364,34.1507212
BlaqHaus NoHo,Yes,No,818-332-0500,"11671 Victory Blvd, 91606",https://www.instagram.com/blaqhausnoho,https://www.restaurantnoho.com/,-118.3869613,34.187001
