Restaurant,Delivery,Vegan,Number,Instagram,Website
My Daddys Recipes,Yes,Yes,323-496-9168,https://www.instagram.com/mydaddysrecipes/,https://mydaddysrecipesbychefkia.com/
Baby Love Sweetery,Yes,Yes,818-600-2136,https://www.instagram.com/babylovesweetery/,https://www.babylovesweetery.com/menu
Milk and Brookies,Yes,No,         ---,https://www.instagram.com/milk_and_brookies,http://www.milkandbrookies.com/
Noisy Library,Yes,No,         ---,https://www.instagram.com/_noisylibrary,         ---
Sugah Rush Bar,Yes,No,424-570-5981,https://www.instagram.com/sugahrushbar,         ---
Thrive Doughnuts,Yes,No,         ---,https://www.instagram.com/thrivedoughnuts,https://www.thrivedoughnuts.com/
Zac's Sweet Shop,Yes,No,         ---,https://www.instagram.com/zacssweetshop,https://zacssweetshop.com/
Babas Vegan Cafe,No,Yes,323-834-2693,https://www.instagram.com/babasvegancafe/,https://www.babasvegancafe.com/
Plate Of Hue,No,Yes,323-205-5283,instagram.com/plateofhue,         ---
Voodoo Vegan,No,Yes,310-437-9632,https://www.instagram.com/voodooveganfood/,         ---
All Flavor No Grease,No,No,         ---,https://www.instagram.com/allflavornogrease,         ---
Bent Did It,No,No,323-628-2856,https://www.instagram.com/bentdidit,https://bentevents.com/
Bridgetown Roti,No,No,         ---,https://www.instagram.com/bridgetown_roti,         ---
Carribean Gourmet,No,No,323-447-0118,https://www.instagram.com/caribbeangourmet,         ---
Cinque,No,No,         ---,         ---,https://www.cinquelosangeles.com
Cobbler Mania,No,No,323-316-4793,https://www.instagram.com/cobblermania,         ---
Cravin Crab Cakes,No,No,619-307-1581,https://www.instagram.com/cravincrabcakes,https://cravincrabcakes.com/
Divine Dips,No,No,213-265-7785,https://www.instagram.com/divinedipsdtla,http://divinedipsicecreme.com/
Fraiche Signatures,No,No,         ---,https://www.instagram.com/fraiche_signatures,         ---
Island Flavors Caribbean Cuisine,No,No,818-477-8076,https://www.instagram.com/islandflavors_cc,
Munchie Madness,No,No,         ---,https://www.instagram.com/_munchiemadnes,         ---
Shad's New Cali Catering,No,No,         ---,https://www.instagram.com/shadsnewcalicatering,         ---
The Bléu Kitchen,No,No,         ---,https://www.instagram.com/bleukitchen,         ---
Trap Kitchen,No,No,503-442-0748,https://www.instagram.com/therealtrapkitchen,https://www.trapkitchen.com/
